,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,butaritari,66,KI,1604280687,77,3.07,172.79,82.24,9.89
88,mar del plata,96,ES,1604280992,93,43.4,-4.01,64.0,5.1
89,bainbridge,0,US,1604280791,88,47.63,-122.52,53.01,1.07
90,chapais,90,CA,1604280761,100,49.78,-74.85,32.0,3.36
91,camana,98,PE,1604280993,79,-16.62,-72.71,64.42,6.55
92,eureka,1,US,1604280772,76,40.8,-124.16,55.0,4.7
93,lavrentiya,4,RU,1604280579,87,65.58,-171.0,22.93,5.48
94,vestmannaeyjar,7,IS,1604280994,75,63.44,-20.27,37.74,16.73
95,yayva,16,RU,1604280994,90,59.33,57.26,26.01,1.88
96,gorontalo,100,ID,1604280731,52,0.54,123.06,87.78,7.45
97,acarau,27,BR,1604280995,82,-2.89,-40.12,79.25,10.56
98,saskylakh,91,RU,1604280660,89,71.92,114.08,-8.32,10.54
99,olbia,0,IT,1604280995,87,40.92,9.49,59.0,10.29
100,ponta do sol,58,PT,1604280996,82,38.73,-28.27,59.09,15.37
101,pisco,90,PE,1604280705,82,-13.7,-76.22,64.4,14.99
102,orotukan,100,RU,1604280996,95,62.27,151.7,18.43,1.66
103,grand gaube,1,US,1604280996,30,38.88,-109.5,53.6,5.82
104,trincomalee,0,LK,1604280996,74,8.57,81.23,79.59,5.41
105,iqaluit,90,CA,1604280465,72,63.75,-68.51,15.8,3.04
106,hilo,1,US,1604280672,66,19.73,-155.09,84.2,5.82
107,airai,100,TL,1604280525,43,-8.93,125.41,76.75,4.47
108,namibe,12,AO,1604280712,77,-15.2,12.15,70.02,4.76
109,mahebourg,20,MU,1604280674,100,-20.41,57.7,64.4,4.7
110,rancho palos verdes,0,BR,1604280998,65,-23.02,-52.96,66.67,4.56
111,gravelbourg,0,CA,1604280998,56,49.88,-106.55,41.0,11.41
112,labateca,100,CO,1604280999,75,7.3,-72.49,64.99,0.34
113,komsomolskiy,100,UZ,1604280740,38,40.43,71.72,41.0,4.7
114,yabrud,75,SY,1604280999,59,33.97,36.66,64.4,9.17
115,pringsewu,54,ID,1604280999,63,-5.36,104.97,84.34,7.07
116,porto belo,90,PT,1604280806,100,41.15,-8.61,64.4,11.41
117,kavaratti,0,IN,1604280508,71,10.57,72.64,80.96,2.33
118,baudh,0,IN,1604281000,78,20.84,84.32,75.34,1.59
119,baruun-urt,0,MN,1604281000,74,46.68,113.28,19.94,11.21
120,meadow lake,100,US,1604281000,61,45.53,-102.22,41.0,7.54
121,padang,99,ID,1604280677,63,-0.95,100.35,83.57,2.46
122,morondava,0,MG,1604280705,77,-20.28,44.28,75.78,2.91
123,norman wells,1,US,1604281001,40,35.22,-97.44,53.6,4.7
124,geraldton,20,AU,1604280703,72,-28.77,114.6,66.2,14.99
125,hualmay,64,PE,1604280668,87,-11.1,-77.61,60.84,8.05
126,asau,7,RO,1604280390,86,46.43,26.4,39.0,5.7
127,ibra,0,OM,1604281002,49,22.69,58.53,56.48,2.1
128,new norfolk,11,LR,1604280939,97,6.65,-10.59,73.87,2.77
129,luderitz,100,NA,1604280701,68,-26.65,15.16,61.09,5.61
130,kirando,88,TZ,1604281002,63,-7.42,30.6,75.69,3.65
131,miraflores,75,MX,1604281003,62,19.22,-98.81,57.2,13.87
132,esperance,91,AU,1604280901,73,-33.87,121.9,75.2,12.75
133,chuy,0,UY,1604280507,83,-33.7,-53.46,53.35,5.55
134,upernavik,97,GL,1604280513,92,72.79,-56.15,16.54,3.24
135,hithadhoo,100,MV,1604280454,73,-0.6,73.08,83.46,7.96
136,wonthaggi,0,AU,1604281004,75,-38.6,145.59,77.0,3.51
137,paredon,100,MX,1604281004,64,16.03,-93.87,80.42,19.3
138,khorixas,84,NA,1604280726,22,-20.37,14.97,70.56,1.03
139,davila,75,PH,1604281005,74,18.47,120.58,86.0,10.29
140,xunchang,100,CN,1604281005,71,28.45,104.72,58.48,1.54
141,dingle,47,PH,1604280535,80,11.0,122.67,82.78,11.88
142,bay roberts,90,US,1604281005,74,43.73,-84.02,33.8,19.46
143,husavik,0,IS,1604280662,51,66.04,-17.34,39.2,5.82
144,loukhi,100,RU,1604281006,91,66.08,33.04,35.94,9.86
145,tazovskiy,100,RU,1604281006,97,67.47,78.7,20.46,14.63
146,ketchikan,90,US,1604281006,100,55.34,-131.65,51.8,40.26
147,port hardy,99,CD,1604281007,70,-7.03,29.76,72.05,3.78
148,vila do maio,99,PT,1604281007,95,42.03,-8.16,60.01,7.0
149,benicia,84,US,1604280946,33,38.05,-122.16,73.99,1.01
150,izhma,93,RU,1604281008,96,65.01,53.91,29.57,8.75
151,lorengau,38,PG,1604280711,64,-2.02,147.27,87.22,5.06
152,yerbogachen,75,RU,1604281009,90,61.28,108.01,10.06,12.35
153,cidreira,3,BR,1604280690,65,-30.18,-50.21,61.63,6.08
154,podporozhye,0,RU,1604281009,96,60.91,34.17,29.48,5.68
155,pacific grove,0,US,1604281009,64,38.48,-90.74,37.99,5.39
156,altamira,78,BR,1604281010,54,-3.2,-52.21,82.04,2.06
157,port keats,99,CD,1604281010,70,-7.03,29.76,72.05,3.78
158,torbay,20,CA,1604280665,74,47.67,-52.73,37.0,12.75
159,bratslav,94,UA,1604281010,91,48.82,28.94,45.0,11.14
160,sao filipe,0,IN,1604281011,59,20.51,76.21,68.92,3.67
161,palauig,100,PH,1604281011,76,15.44,119.9,80.58,13.6
162,caravelas,100,BR,1604281012,84,-17.71,-39.25,71.89,10.67
163,ulety,59,RU,1604281012,86,51.36,112.48,18.28,9.93
164,mandalgovi,0,MN,1604280509,82,45.76,106.27,19.81,4.81
165,avarua,84,CK,1604280451,88,-21.21,-159.78,77.0,14.99
166,lata,93,PT,1604281012,93,40.16,-8.33,64.99,1.99
167,antsohihy,5,MG,1604281013,60,-14.88,47.99,71.29,4.94
168,georgetown,20,MY,1604280453,88,5.41,100.34,80.6,3.36
169,nemuro,75,JP,1604280734,63,43.32,145.57,62.6,18.34
170,rawson,100,AR,1604280447,26,-43.3,-65.1,75.16,25.59
171,okhotsk,100,RU,1604280716,87,59.38,143.3,22.35,18.9
172,san patricio,0,ML,1604281014,18,13.3,-4.9,78.13,6.93
173,macapa,0,BR,1604281014,83,0.04,-51.07,84.2,6.93
174,dunedin,51,NZ,1604280687,65,-45.87,170.5,55.99,17.0
175,chinchani,75,IN,1604281014,57,19.87,72.7,79.14,6.35
176,tezu,79,IN,1604281015,65,27.92,96.17,75.58,1.1
177,sitka,90,US,1604280689,87,57.05,-135.33,48.2,21.92
178,zhigansk,99,RU,1604280509,91,66.77,123.37,0.1,20.51
179,golden,5,US,1604280946,37,39.76,-105.22,55.0,6.93
180,tromso,40,NO,1604280720,75,69.65,18.96,41.0,50.55
181,port elizabeth,99,CD,1604281007,70,-7.03,29.76,72.05,3.78
182,pevek,100,RU,1604280581,94,69.7,170.31,14.47,8.79
183,alice springs,1,US,1604281016,56,27.75,-98.07,69.8,5.82
184,tuatapere,25,NZ,1604280660,65,-46.13,167.68,55.0,13.0
185,labuhan,100,ID,1604281017,70,-6.88,112.21,83.7,6.53
186,houma,1,US,1604280982,77,29.6,-90.72,66.0,8.05
187,guerrero negro,34,MX,1604281017,64,17.67,-100.0,68.27,1.9
188,misratah,0,LY,1604280694,59,32.38,15.09,68.11,2.66
189,touros,75,BR,1604280678,78,-5.2,-35.46,80.6,10.29
190,aykhal,90,RU,1604280951,84,66.0,111.5,6.8,8.95
191,port blair,99,CD,1604281010,70,-7.03,29.76,72.05,3.78
192,tual,100,ID,1604281018,73,-5.67,132.75,83.21,11.97
193,merzifon,0,TR,1604281019,80,40.87,35.46,35.6,1.88
194,sapouy,0,BF,1604281019,29,11.55,-1.77,74.44,4.41
195,ilulissat,100,GL,1604280552,67,69.22,-51.1,19.4,6.93
196,hasaki,75,JP,1604280715,93,35.73,140.83,64.4,9.17
197,itarare,14,BR,1604281020,99,-24.11,-49.33,55.0,1.99
198,zeya,100,RU,1604281020,86,53.75,127.27,19.11,9.17
199,inverell,0,AU,1604281020,42,-29.78,151.12,78.01,4.0
200,turukhansk,100,RU,1604280954,98,65.82,87.98,24.03,11.88
201,tiksi,0,RU,1604280673,90,71.69,128.87,-4.94,6.85
202,valparaiso,40,CL,1604280768,87,-33.04,-71.63,53.6,8.05
203,carnarvon,40,AU,1604280673,56,-24.87,113.63,71.6,16.11
204,port moresby,99,CD,1604280979,70,-7.03,29.76,72.05,3.78
205,garowe,0,SO,1604281022,61,8.41,48.48,73.22,5.14
206,yellowknife,75,CA,1604280447,85,62.46,-114.35,12.99,18.34
207,maumere,91,ID,1604281022,60,-8.62,122.21,86.5,1.43
208,saldanha,0,ZA,1604280685,63,-33.01,17.94,64.4,3.36
209,basti,0,IN,1604281023,49,26.8,82.72,69.73,6.76
210,matagami,90,CA,1604280750,92,49.75,-77.63,26.6,22.55
211,makakilo city,20,US,1604281023,65,21.35,-158.09,82.4,9.17
212,pacifica,75,US,1604280979,59,37.61,-122.49,66.99,10.29
213,kloulklubed,75,PW,1604280707,74,7.04,134.26,86.0,6.93
214,manavalakurichi,20,IN,1604281024,83,8.13,77.3,80.6,5.7
215,kilindoni,1,TZ,1604281024,80,-7.91,39.67,77.72,9.28
216,nyurba,47,RU,1604281025,89,63.28,118.33,3.94,10.13
217,arraial do cabo,0,BR,1604281025,72,-22.84,-46.65,59.0,9.17
218,olinda,75,BR,1604281025,74,-8.01,-34.86,80.6,8.05
219,tonj,83,SS,1604281025,87,7.27,28.68,72.52,2.33
220,noumea,90,NC,1604280683,45,-22.28,166.46,87.8,6.93
221,sagarejo,0,GE,1604281026,76,41.73,45.33,51.8,1.12
222,yeppoon,20,AU,1604281026,45,-23.13,150.73,87.8,8.05
223,ngara,100,TZ,1604281026,100,-2.51,30.66,56.71,1.5
224,beringovskiy,100,RU,1604280689,93,63.05,179.32,24.71,2.77
225,ternate,94,ID,1604281027,69,0.8,127.4,85.21,6.58
226,vitim,0,RU,1604281027,87,59.45,112.56,5.05,3.94
227,tabas,0,IR,1604281027,25,33.6,56.92,53.6,2.24
228,gao,0,ML,1604281027,22,16.64,1.64,74.64,11.95
229,kamenka,84,RU,1604281028,78,51.32,42.77,40.78,8.21
230,dukat,100,RU,1604281028,96,62.55,155.55,16.09,5.26
231,vila franca do campo,99,PT,1604281007,95,42.03,-8.16,60.01,7.0
232,severo-kurilsk,19,RU,1604280695,72,50.68,156.12,44.11,10.69
233,beaverlodge,75,CA,1604281029,61,55.22,-119.44,50.0,8.05
234,jingdezhen,100,CN,1604281029,88,29.29,117.21,60.66,3.0
235,fairbanks,1,US,1604280929,76,64.84,-147.72,0.0,1.77
236,east london,90,IS,1604281029,59,65.0,-15.0,37.4,10.29
237,saint-pierre,90,RE,1604280673,56,-21.34,55.48,69.8,5.82
238,honiara,20,SB,1604280558,70,-9.43,159.95,89.6,16.11
239,sioux lookout,1,US,1604281030,66,42.73,-96.23,35.01,6.69
240,nkhotakota,12,MW,1604281030,73,-12.93,34.3,75.34,4.45
241,lodja,89,CD,1604281031,97,-3.48,23.43,67.53,1.68
242,baherden,77,TM,1604280507,26,38.44,57.43,64.76,4.18
243,guadalupe victoria,3,MX,1604280870,51,25.68,-100.25,71.01,1.99
244,buta,100,CD,1604281031,98,2.79,24.73,69.66,1.61
245,memaliaj,96,AL,1604281032,85,40.35,19.98,53.01,1.01
246,manokwari,100,ID,1604280718,79,-0.87,134.08,81.18,7.94
247,kewanee,0,US,1604281032,53,41.25,-89.92,35.01,4.0
248,hami,5,CN,1604280690,47,42.8,93.45,45.54,7.29
249,jijiga,0,ET,1604281032,36,9.35,42.8,57.25,8.59
250,san jose,0,ML,1604280846,18,13.3,-4.9,78.13,6.93
251,nikki,13,BJ,1604280713,37,9.94,3.21,72.86,1.83
252,ahipara,100,NZ,1604280798,69,-35.17,173.17,71.19,8.37
253,gobabis,72,NA,1604281033,22,-22.45,18.97,71.85,9.04
254,thinadhoo,100,MV,1604281033,71,0.53,72.93,83.35,6.78
