,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,nalut,0,LY,1604279781,71,30.33,10.85,58.37,9.35
89,upernavik,97,GL,1604279782,92,72.79,-56.15,16.54,3.24
90,auki,4,SB,1604279782,71,-8.77,160.7,86.23,1.99
91,segou,0,ML,1604279783,19,13.43,-6.22,77.05,4.7
92,mahebourg,20,MU,1604279783,100,-20.41,57.7,64.4,4.7
93,saint-philippe,90,RE,1604279783,56,-21.36,55.77,69.8,5.82
94,ratnagiri,10,IN,1604279784,73,16.98,73.3,76.5,4.43
95,gopalpur,99,IN,1604279784,79,19.27,84.92,76.93,7.49
96,chokurdakh,100,RU,1604279784,93,70.63,147.92,-0.53,11.34
97,east london,90,IS,1604279785,59,65.0,-15.0,37.4,10.29
98,dingle,47,PH,1604279785,80,11.0,122.67,82.78,11.88
99,khatanga,100,RU,1604279520,95,71.97,102.5,5.68,6.51
100,tuatapere,13,NZ,1604279604,67,-46.13,167.68,55.0,13.0
101,meulaboh,100,ID,1604279786,88,4.14,96.13,77.34,3.98
102,kolondieba,0,ML,1604279786,39,11.09,-6.89,75.34,2.73
103,tabas,0,IR,1604279787,24,33.6,56.92,55.4,2.24
104,richards bay,1,US,1604279787,68,46.84,-95.91,30.2,9.17
105,pokhara,0,NP,1604279763,39,28.23,83.98,66.06,4.88
106,guhagar,48,IN,1604279788,73,17.48,73.19,76.03,3.51
107,celestun,30,MX,1604279788,80,20.87,-90.4,76.08,16.78
108,teguldet,100,RU,1604279788,96,57.31,88.17,34.57,11.27
109,viedma,0,AR,1604279789,51,-40.81,-63.0,64.99,18.68
110,georgetown,40,MY,1604279789,94,5.41,100.34,78.8,3.36
111,katsuura,75,JP,1604279608,100,35.13,140.3,62.6,3.36
112,laurel,40,US,1604279760,57,39.1,-76.85,52.0,6.93
113,svetlyy,75,RU,1604279790,87,54.67,20.13,44.6,8.95
114,lodwar,78,KE,1604279791,49,3.12,35.6,81.77,14.85
115,avarua,84,CK,1604279791,83,-21.21,-159.78,78.8,18.34
116,airai,100,TL,1604279791,43,-8.93,125.41,76.75,4.47
117,acarau,13,BR,1604279791,83,-2.89,-40.12,78.98,11.74
118,caninde,0,BR,1604279792,73,-4.36,-39.31,77.85,3.02
119,nantucket,75,US,1604279792,91,41.28,-70.1,57.0,12.75
120,provideniya,0,RU,1604279793,63,64.38,-173.3,26.6,2.24
121,meligalas,0,GR,1604279793,93,37.22,21.97,62.01,2.06
122,samarai,42,PG,1604279793,75,-10.62,150.67,83.5,9.08
123,ponta do sol,98,PT,1604279794,80,38.73,-28.27,59.61,15.28
124,muisne,92,EC,1604279794,85,0.6,-80.03,75.51,8.66
125,yellowknife,90,CA,1604279706,85,62.46,-114.35,14.0,14.99
126,dukat,100,RU,1604279794,96,62.55,155.55,15.62,5.1
127,kavaratti,0,IN,1604279795,71,10.57,72.64,80.96,2.33
128,chuy,0,UY,1604279795,83,-33.7,-53.46,53.35,5.55
129,kapaa,75,US,1604279586,83,22.08,-159.32,79.0,16.11
130,mtambile,7,TZ,1604279795,80,-5.38,39.7,76.68,5.84
131,belmonte,75,BR,1604279796,88,-15.86,-38.88,68.0,6.93
132,port-gentil,99,GA,1604279796,87,-0.72,8.78,78.26,10.67
133,machico,75,PT,1604279797,88,32.7,-16.77,68.0,4.7
134,karaton,40,ID,1604279797,83,-6.34,106.1,81.0,11.41
135,andenes,100,NO,1604279797,76,69.31,16.12,48.2,20.8
136,talnakh,75,RU,1604279797,79,69.49,88.4,21.2,6.71
137,tasiilaq,0,GL,1604279798,74,65.61,-37.64,28.4,4.7
138,pacific grove,0,US,1604279747,59,38.48,-90.74,42.01,6.04
139,ancud,0,CL,1604279604,87,-41.87,-73.82,53.01,3.36
140,misratah,0,LY,1604279798,58,32.38,15.09,68.52,3.24
141,piacabucu,100,BR,1604279799,80,-10.41,-36.43,78.13,13.42
142,kozlovka,90,RU,1604279799,100,55.84,48.25,33.8,6.71
143,jamestown,90,US,1604279799,92,42.1,-79.24,35.01,14.99
144,churapcha,12,RU,1604279799,87,62.0,132.43,-12.03,2.35
145,petropavlovsk-kamchatskiy,0,RU,1604279800,56,53.05,158.65,41.0,4.47
146,victoria,100,HK,1604279596,65,22.29,114.16,78.01,10.16
147,lagoa,81,PT,1604279658,74,39.05,-27.98,62.44,15.88
148,grafton,90,US,1604279736,93,42.21,-71.69,48.0,10.29
149,bellevue,1,US,1604279608,71,47.61,-122.2,54.0,0.69
150,matara,91,LK,1604279801,83,5.95,80.54,77.41,5.59
151,puteyets,100,RU,1604279802,96,65.17,57.09,27.55,7.34
152,batouri,100,CM,1604279803,95,4.43,14.37,67.6,1.28
153,nishihara,20,JP,1604279804,69,26.18,127.76,78.8,8.05
154,port elizabeth,98,CD,1604279804,63,-7.03,29.76,73.76,1.41
155,cabo san lucas,75,BR,1604279804,78,-8.28,-35.03,80.6,8.05
156,nanyuki,37,KE,1604279805,84,0.02,37.07,55.0,4.97
157,loandjili,99,CG,1604279806,87,-4.76,11.86,77.31,4.74
158,taber,2,CA,1604279702,48,49.82,-112.15,55.4,11.41
159,estelle,3,US,1604279807,63,29.85,-90.11,69.01,3.0
160,luderitz,100,NA,1604279807,63,-26.65,15.16,62.46,8.12
161,ljungby,100,SE,1604279808,100,56.83,13.94,54.0,13.87
162,san patricio,0,ML,1604279702,17,13.3,-4.9,79.3,7.67
163,atar,100,MR,1604279808,18,20.52,-13.05,80.42,7.18
164,roebourne,86,AU,1604279808,54,-20.78,117.13,77.94,11.23
165,cidreira,3,BR,1604279809,66,-30.18,-50.21,61.99,6.73
166,gilbues,86,BR,1604279809,84,-9.83,-45.34,74.34,3.8
167,dikson,97,RU,1604279809,98,73.51,80.55,18.09,8.3
168,scarborough,100,GB,1604279810,87,54.28,-0.4,62.01,11.01
169,abu jubayhah,0,IN,1604279810,35,24.6,72.7,57.96,4.5
170,mar del plata,97,ES,1604279811,93,43.4,-4.01,66.0,4.85
171,lazarev,100,RU,1604279811,86,52.23,141.51,41.36,20.71
172,toora-khem,4,RU,1604279811,95,52.47,96.11,19.49,1.92
173,princeton,1,US,1604279812,88,25.54,-80.41,80.01,4.7
174,zalantun,100,CN,1604279812,79,48.0,122.72,23.27,21.43
175,idah,87,NG,1604279813,85,7.11,6.73,75.18,1.41
176,rafraf,20,TN,1604279813,87,37.19,10.18,59.0,2.24
177,rawah,84,IQ,1604279814,24,34.48,41.91,68.92,10.33
178,olafsvik,92,IS,1604279814,87,64.89,-23.71,35.31,12.44
179,salekhard,83,RU,1604279777,95,66.53,66.6,25.23,11.81
180,eucaliptus,82,BO,1604279815,62,-17.58,-67.52,51.19,13.53
181,basoko,100,CD,1604279710,94,1.24,23.62,71.04,2.53
182,necochea,26,AR,1604279816,63,-38.55,-58.74,57.99,8.99
183,mount gambier,100,GB,1604279816,96,53.66,-1.85,61.0,10.0
184,ulaanbaatar,0,MN,1604279605,84,47.91,106.88,-0.4,2.24
185,svetlaya,22,RU,1604279817,62,46.54,138.33,46.74,5.79
186,puerto carreno,0,ES,1604279769,93,36.59,-6.23,57.2,2.24
187,leningradskiy,85,RU,1604279609,83,69.38,178.42,16.74,4.52
188,santa ines,100,PH,1604279817,71,17.49,120.43,84.52,3.02
189,heihe,75,CN,1604279817,85,50.24,127.49,19.4,11.18
190,emerald,0,AU,1604279818,23,-23.53,148.17,90.0,14.99
191,ribeira grande,75,ES,1604279818,93,42.75,-8.44,66.0,13.87
192,ust-omchug,100,RU,1604279819,95,61.15,149.63,24.87,4.21
193,belyy yar,100,RU,1604279819,89,55.84,32.94,39.45,6.31
194,severo-kurilsk,24,RU,1604279819,72,50.68,156.12,43.99,8.61
195,niono,18,ML,1604279820,17,14.25,-5.99,79.16,5.95
196,stornoway,39,GB,1604279820,93,58.21,-6.39,46.99,19.46
197,norman wells,1,US,1604279613,40,35.22,-97.44,53.6,4.7
198,teya,100,RU,1604279821,91,60.38,92.63,33.8,12.84
199,sitka,90,US,1604279821,87,57.05,-135.33,48.2,24.16
